tree_type,policy_name,storage_type,config_name,cache_size,cache_page_limit,thread_count,timestamp,key_type,value_type,record_count,degree,operation,time_us,throughput_ops_sec,test_run_id,cache_hits,cache_misses,cache_evictions,cache_dirty_evictions,cache_hit_rate,perf_cache_misses,perf_cache_references,perf_cycles,perf_instructions,perf_branch_misses,perf_page_faults,perf_l1_dcache_misses,perf_l1_dcache_loads,perf_llc_misses,perf_llc_loads
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:54,uint64_t,uint64_t,100000,24,ycsb_a,25605,3905475.01,9,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:56,uint64_t,uint64_t,100000,24,ycsb_a,25530,3916891.09,10,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:45,uint64_t,uint64_t,100000,24,ycsb_a,53887,1855709.49,1,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:47,uint64_t,uint64_t,100000,24,ycsb_a,53600,1865669.17,2,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:49,uint64_t,uint64_t,100000,24,ycsb_a,54884,1822006.61,3,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:51,uint64_t,uint64_t,100000,24,ycsb_a,54492,1835124.62,4,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:54,uint64_t,uint64_t,100000,24,ycsb_a,53524,1868312.13,5,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:56,uint64_t,uint64_t,100000,24,ycsb_a,54381,1838847.59,6,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:39:58,uint64_t,uint64_t,100000,24,ycsb_a,54031,1850788.81,7,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:40:00,uint64_t,uint64_t,100000,24,ycsb_a,54326,1840715.79,8,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
